UserId,LifetimeDays,LifetimeMinutes
148,3.386111111111111,4876
463,4.0777777777777775,5872
471,4.151388888888889,5978
496,4.1625,5994
833,3.6694444444444443,5284
1088,1.386111111111111,1996
1238,3.0541666666666667,4398
1342,2.202777777777778,3172
1580,3.9493055555555556,5687
1591,3.3159722222222223,4775
1645,0.6847222222222222,986
1829,0.5868055555555556,845
1959,4.027777777777778,5800
2122,3.6645833333333333,5277
2142,4.204166666666667,6054
2366,1.79375,2583
2659,4.059027777777778,5845
2866,3.7708333333333335,5430
3175,3.98125,5733
3749,1.8868055555555556,2717
3794,4.178472222222222,6017
3918,4.058333333333334,5844
3997,4.075,5868
4101,3.526388888888889,5078
4519,3.99375,5751
4818,4.004861111111111,5767
4900,3.203472222222222,4613
4935,4.182638888888889,6023
5156,3.277083333333333,4719
5300,3.1680555555555556,4562
5518,3.0104166666666665,4335
5803,3.6638888888888888,5276
6336,4.179166666666666,6018
6357,3.8743055555555554,5579
6397,4.065277777777778,5854
6466,4.049305555555556,5831
6620,2.4520833333333334,3531
6654,3.188888888888889,4592
6658,1.2041666666666666,1734
7240,1.8027777777777778,2596
7253,4.072916666666667,5865
7340,4.256944444444445,6130
7554,1.5972222222222223,2300
7754,3.5861111111111112,5164
7833,3.3618055555555557,4841
7880,4.248611111111111,6118
7982,2.0618055555555554,2969
7993,3.670138888888889,5285
8086,0.10138888888888889,146
8389,0.8409722222222222,1211
8592,3.229861111111111,4651
8638,2.084722222222222,3002
9376,3.573611111111111,5146
9427,0.32222222222222224,464
9465,4.182638888888889,6023
9852,4.129861111111111,5947
9900,3.5305555555555554,5084
10206,4.075694444444444,5869
10362,3.486111111111111,5020
10623,0.4951388888888889,713
10817,6.944444444444445E-4,1
11033,3.790277777777778,5458
11141,1.6618055555555555,2393
11317,4.182638888888889,6023
11458,4.175694444444445,6013
11748,4.0993055555555555,5903
11858,1.2173611111111111,1753
12027,2.8881944444444443,4159
12046,2.8604166666666666,4119
12799,3.1680555555555556,4562
12940,4.1506944444444445,5977
13285,2.69375,3879
13289,3.9791666666666665,5730
243,3.172222222222222,4568
392,4.210416666666666,6063
540,3.5729166666666665,5145
623,4.183333333333334,6024
737,4.174305555555556,6011
858,3.2756944444444445,4717
897,4.188888888888889,6032
1025,3.986111111111111,5740
1084,3.6104166666666666,5199
1127,1.3888888888888888,2000
1395,4.0055555555555555,5768
1460,3.6326388888888888,5231
1483,0.21041666666666667,303
1507,4.144444444444445,5968
1522,2.8819444444444446,4150
1721,2.2597222222222224,3254
1896,3.185416666666667,4587
1990,3.0541666666666667,4398
2235,4.227777777777778,6088
2387,3.8194444444444446,5500
2563,1.9708333333333334,2838
